,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
132,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,1
145,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,1557,2022,1
153,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,1
165,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1664,5323,2022,1
175,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3418,2022,1
188,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,60,2022,1
204,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,1
215,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,1
228,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,843,2022,1
241,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,1
252,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,39,1397,2022,1
264,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,1
275,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1382,2022,1
288,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,1
297,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3766,2022,1
10154,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,2
10167,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,1557,2022,2
10175,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,2
10187,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4360,5336,2022,2
10197,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3446,2022,2
10210,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,60,2022,2
10226,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,2
10237,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,2
10250,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,843,2022,2
10263,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,2
10274,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,200,1447,2022,2
10286,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,2
10297,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1382,2022,2
10310,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,2
10319,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3766,2022,2
19970,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,3
19983,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,2143,2022,3
19991,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,3
